x_m,y_m
-1.752869265959864715e+06,-3.266803529267638223e+05
-1.753284459935902385e+06,-3.267686029742570245e+05
-1.753948047748155659e+06,-3.275810729756277287e+05
-1.754477285982178757e+06,-3.278368302553638350e+05
-1.755041075774613302e+06,-3.278570453576960717e+05
-1.754883489692551317e+06,-3.273422750684938510e+05
-1.754585723126891768e+06,-3.265128990698693669e+05
-1.754070745461085811e+06,-3.255365472001371090e+05
-1.753929376814946998e+06,-3.250935787132093101e+05
-1.754024314824407687e+06,-3.243067584645615425e+05
-1.753811273325465852e+06,-3.238640508477090625e+05
-1.753925898641203064e+06,-3.235736753761887667e+05
-1.754237770510118920e+06,-3.231174800411252654e+05
-1.754258783545684069e+06,-3.227325205766811268e+05
-1.754262510760671692e+06,-3.216593715472894837e+05
-1.754857617970506661e+06,-3.211644609223228763e+05
-1.755208082505017752e+06,-3.211887457041006419e+05
-1.755736051403210266e+06,-3.212761781834893627e+05
-1.756228806177088059e+06,-3.209782124203859712e+05
-1.756082177963174181e+06,-3.203647286142343073e+05
-1.755306155410291860e+06,-3.199789949220787385e+05
-1.754355751420689514e+06,-3.200360152918791282e+05
-1.753203084393217694e+06,-3.205557331837001839e+05
-1.752521804566783598e+06,-3.208696231733534951e+05
-1.751771405990114668e+06,-3.208614541138464701e+05
-1.750867843791554682e+06,-3.202020028340499848e+05
-1.750672317250943044e+06,-3.198614991761598503e+05
-1.750632464314500568e+06,-3.181376736402206589e+05
-1.750919291452410165e+06,-3.168354488923109020e+05
-1.751224779665986774e+06,-3.161384464520908659e+05
-1.751208628828803776e+06,-3.154945971490725642e+05
-1.750322282946964726e+06,-3.123589089736533933e+05
-1.750110686053357087e+06,-3.113252477698790026e+05
